decade,genderb,nameb,numberb,genderg,nameg,numberb
1970,boy,Michael,"707,629",girl,Jennifer,"581,766"
1970,boy,Christopher,"475,605",girl,Amy,"269,001"
1970,boy,Jason,"462,926",girl,Melissa,"253,285"
1970,boy,David,"445,940",girl,Michelle,"249,145"
1970,boy,James,"444,922",girl,Kimberly,"229,105"
1970,boy,John,"402,824",girl,Lisa,"228,688"
1970,boy,Robert,"397,399",girl,Angela,"225,251"
1970,boy,Brian,"322,826",girl,Heather,"203,917"
1970,boy,William,"283,547",girl,Stephanie,"160,470"
1970,boy,Matthew,"277,935",girl,Nicole,"144,670"
